Rk,Team,Date,Season,Pts,PtsO,Rate,TO,Y/P,DY/P,ToP,Rate,Day,G#,Week,Away,Opp,Result,Pts,PtsO,PtDif,PC,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Opp_Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Rush,Pass,Tot,TO
11,DAL,2024-11-24,2024,34,26,117.6,2,5.44,6.15,35:12,81.8,Sun,11,12,@,WAS,W 34-26,34,26,8,60,24,32,8,75.0,241,2,0,6.3,0.0,117.6,1,6,3.03,7.5,7.30,8.78,8.52,10.0,332,61,5.44,67,6.15,1,35:12,3:25,25,38,65.8,267,2,4,8,2,81.8,-54,-26,-80,2
12,KAN,2024-11-24,2024,30,27,120.2,0,5.75,5.76,32:16,91.2,Sun,11,12,@,CAR,W 30-27,30,27,3,57,27,37,10,73.0,226,3,0,8.1,0.0,120.2,5,43,11.90,6.1,5.38,7.73,6.81,8.4,391,68,5.75,58,5.76,0,32:16,3:11,21,35,60.0,249,1,2,14,0,91.2,80,-23,57,0
13,NYG,2024-11-24,2024,7,30,84.4,0,4.38,7.27,26:01,107.5,Sun,11,12,,TAM,L 7-30,7,30,-23,37,22,32,10,68.8,169,0,0,0.0,0.0,84.4,4,23,11.11,5.3,4.69,5.28,4.69,7.7,245,56,4.38,62,7.27,1,26:01,2:49,24,30,80.0,294,0,0,0,0,107.5,-81,-125,-206,0
14,PHI,2024-11-24,2024,37,20,108.0,1,7.07,4.92,33:41,99.1,Sun,11,12,@,LAR,W 37-20,37,20,17,57,15,22,7,68.2,167,1,0,4.5,0.0,108.0,1,12,4.35,7.6,7.26,8.50,8.13,11.1,481,68,7.07,59,4.92,0,33:41,3:13,24,36,66.7,198,2,5,45,0,99.1,222,-31,191,1
15,ARI,2024-11-24,2024,6,16,77.0,0,5.32,4.67,26:47,88.1,Sun,11,12,@,SEA,L 6-16,6,16,-10,22,24,37,13,64.9,249,0,1,0.0,2.7,77.0,5,36,11.90,6.7,5.93,5.51,4.86,10.4,298,56,5.32,61,4.67,1,26:47,2:56,22,31,71.0,220,1,5,34,1,88.1,-16,29,13,0
16,LAR,2024-11-24,2024,20,37,104.3,-1,4.92,7.07,26:19,105.7,Sun,11,12,,PHI,L 20-37,20,37,-17,57,24,36,12,66.7,198,2,0,5.6,0.0,104.3,5,45,12.20,5.5,4.83,6.61,5.80,8.3,290,59,4.92,68,7.07,1,26:19,3:13,15,22,68.2,167,1,1,12,0,105.7,-222,31,-191,-1
17,DET,2024-11-24,2024,24,6,93.4,0,5.42,5.47,37:01,60.4,Sun,11,12,@,IND,W 24-6,24,6,18,30,26,36,10,72.2,253,0,0,0.0,0.0,93.4,3,16,7.69,7.0,6.49,7.03,6.49,9.7,390,72,5.42,49,5.47,0,37:01,2:53,11,28,39.3,172,0,0,0,0,60.4,41,81,122,0
18,GNB,2024-11-24,2024,38,10,107.7,3,4.85,5.13,36:43,76.4,Sun,11,12,,SFO,W 38-10,38,10,28,48,13,23,10,56.5,156,2,0,8.7,0.0,107.7,2,7,8.00,6.8,6.24,8.52,7.84,12.0,325,67,4.85,47,5.13,0,36:43,3:01,17,29,58.6,197,1,2,2,1,76.4,125,-41,84,3
19,LVR,2024-11-24,2024,19,29,75.0,-2,4.99,5.00,28:49,93.6,Sun,11,12,,DEN,L 19-29,19,29,-10,48,31,53,22,58.5,300,1,1,1.9,1.9,75.0,5,28,8.62,5.7,5.17,5.19,4.74,9.7,369,74,4.99,65,5.00,2,28:49,3:20,25,42,59.5,262,2,1,11,0,93.6,6,38,44,-2
20,WAS,2024-11-24,2024,26,34,82.7,-2,6.15,5.44,24:48,116.8,Sun,12,12,,DAL,L 26-34,26,34,-8,60,25,38,13,65.8,267,2,2,5.3,5.3,82.7,4,8,9.52,7.0,6.36,5.71,5.17,10.7,412,67,6.15,61,5.44,3,24:48,3:25,24,32,75.0,241,2,1,6,0,116.8,54,26,80,-2
